Course name,Instructor,Course_Difficulty,Time_Commitment_Required,Attendance_Policy,Pre_requisites,Evaluation_Scheme,Topics_Covered,Teaching_Style,Tutorials_Assignments_Projects,Feedback_on_Exams,Course_Importance,References_Used,When_to_take_course
HS207 - Social Psychology,Prof Mrinmoyi Kulkarni,"It has no prerequisites and if one attends the classes regularly, it is pretty easy to follow. It would help if you have an interest in humanities related disciplines and want to explore more.
 It is part of the HSS minor offered by the Humanities and Social Sciences Dept. It usually runs in the autumn semester and can be taken in whichever year youâ€™d like.","During most of the semester, attending classes would suffice, which amounts to 3hrs/week. Assessments (one write up and a paper presentation in a team of 2) can take up some time but can be managed easily if managed properly. Before end-sems and mid-sems, a day or two of revision proved to be enough for me.",There was no attendance policy implemented by the professor as such.,Not for B.Tech students,,"Non-verbal cues, Attitudes, Prejudice, Cognitive Dissonance, Attitudes, Social Psychology and the Law","The professor taught using minimal content on the slides that she explained during the lectures. She very conveniently came up with examples from historic events and everyday happenings that made the classes interactive and interesting.
 The Kurosava movie â€˜Roshomonâ€™ was screened during one lecture to explain the importance of different perspectives on the same event.","Apart from mid-sem and end-sem, there were 2 other assignments:","Midsem: subjective
 Endsem: objective
 Questions asked were from the concepts taught and discussed in class. For preparation, noting key information during lectures was important because the slides didnâ€™t cover the material in detail. Then revising these notes and going through the slides before the exam was enough to secure a good grade.",,,
DE410 - Perspectives on World Cinema,Prof Mazhar Kamran,"2/5, 5 being the most difficult
 A major part of the course was attending the weekly film screening and writing up about it. So, if one has an interest in cinema*, the course would go seamlessly for them.
 It is a part of the design minorâ€™s course basket and can be taken in any year since it is pretty much independent of any other course.","During the course, there was one ~1hr class on Wednesday and a film screening on Friday night. Writing up about the films after watching them was required as part of the assignment but didnâ€™t take too long (an hour or two per film but that might depend).",Attendance during the lectures and screenings wasnâ€™t mandatory but contributed a certain fraction (~20%) to the final grade.,Not for B.Tech students,,"*World Cinema; which includes pretty old films from various countries like Russia, Italy, France, Japan, etc. Some of these may be abstract or a tad boring at times but offer great insight into the characters and the culture theyâ€™re based in.
 During the lectures, the professor discussed about filmmakers from different countries and film-movements across the world. But the discussions also often transitioned into art in general and sometimes about his experiences in filmmaking.
 The course was NOT about filmmaking but rather about learning to watch and appreciate films critically.","The professor, an FTII alum, has worked on landmark Hindi films like Satya (as a cinematographer) and possesses a thorough understanding of world cinema. He discusses the different world cinema filmmakers and their styles during lectures which incites curiosity within the students.
 The discussions with him were always super interesting and enlightening, especially if one is into cinema, art and literature.","Apart from attendance, which accounted for around 20% of the final course total, there were 2 things expected:","There were no mid-sem, end-sem or any other written exams.",,,
CS218 - Design & Analysis of Algorithms,Prof. Paritosh Pandya,Overall the course is moderate. It is recommended to take it in the 3rd/4th year after completing CS213.,"It is recommended to attend all the lectures as Prof. Paritosh is a gem of a teacher. Apart from 3 hrs/week, studying a little bit before the exams should be enough.",No attendance policy was enforced.,Not for B.Tech students,,"Sir used slides in the class which were quite descriptive. The teaching seemed somewhat monotonous, especially in the second half of the course as the topics became theory intensive. A couple of assignments were given and solved by the TAs in class.","Sir used slides in the class which were quite descriptive. The teaching seemed somewhat monotonous, especially in the second half of the course as the topics became theory intensive. A couple of assignments were given and solved by the TAs in class.","2 Quizzes - 10% each
 Midsem - 30%
 Endsem - 50%
 2 assignments were given for self-practice. They were quite useful as questions in the exams were quite related to the ones given in the assignments.",The exams were subjective and were on the easier side with the Endsem being exceptionally harder.,,,
CM801 - Introduction to Risk Analysis,Prof. Subhankar Karnmakar (a very very nice professor - best giveaway for the course!),"Moderate - level 3
 I took up the course in my third year, it didnâ€™t seem too difficult. Probability-based content is taught; it is not too advanced, though.",I only studied for 6-7 hours prior to quizzes; endsem/midsem/project would require more time. Overall 2 hrs a week of consistent studying or even honest last-minute prep is sufficient.,The professor was strict about attendance - approximately 70% is required.,Not for B.Tech students,,Some theory about environmental risk & mathematical models to quantify the same (fuzzy techniques etc.) â€“ easy to moderate level content but there are quite a few topics - so good prep & time would be required.,Very comprehensive slides + the prof. is very open to clearing doubts â€“ most questions for exams are based on the content taught in class.,2 Assignments - pretty chill ChatGPT level; group project is also straightforward - need to review some papers & develop insights on the same,"Exams were quite easy, although one needs to be thorough with the content & hence put in honest effort + time",,,
US607 - Sustainability Assessment of Urban Systems,Prof. Pradip P Kalbar,"Moderate difficulty, requires attention during class to stay on top of everything. Not too tough, however last day preparations can lose you grades",1 hour weekly,No attendance mandatory,Not for B.Tech students,,"Sustainability analysis of cities. Global warming topics, UN SDG and their importance. Then moves on to defining flow analysis of energy, waste and material in cities and ecosystems.",Online: Slides with presentation. Good teaching with proper flow and explanations. Very engaging for people who are interested in the course. Expert peer group consisting of M.Tech and PhDs.,"Easy assignments, questions come directly from slides. Requires some mugging","Easy exams, require more mugging than assignments, but come directly from slides.",,,
SI527 - Introduction to Derivative Pricing,S.BASKAR,Pre- midsem the course is really basic but as the course proceeds it gets tougher,3 hrs worth of lectures every week which are enough if pay full attention,"All pre-recorded lectures, no attendance",Si417 is a hard pre-requisit.,10 quizzes of 10 percent each.,"Types of financial securities, Present value and future value of money
 Cash flows, IRR, Annuities, Perpetuities
 Valuation, Bonds, Duration of bonds
 Term structure of interest rates, spot rates, forward rates
 Arbitrage and Forward pricing, Futures
 Swaps
 Types of Options, Option strategies, bounds on option prices, put-call parity
 Conditional expectation, Measurability (very theoretical part starts from here)
 Martingale theory, random walk, Brownian motion
 Properties of Brownian motion and martingales",All the lectures were pre-recorded with weekly help sessions with the professor. The notes were really good and self-sufficient.,The assignments and tuts were important as the exams were directly based on them,The tests in the start were easy and scoring. As the course progressed they became tougher and took more time to solve. A few of them were very calculative.,No follow-up courses as such but gives a good overview of finance related topics,Prof notes were enough,I took the course in my 4th sem. SI417 is a prerequisite hence it can be taken in any sem after you have completed the course.
SI417 - Introduction to Probability Theory,S.Baskar,Moderate,The lectures had 3 hr worth of content every week. Apart from that tuts were given which took about 2-3 hrs but were optional,"Took this course online. The lectures were pre-recorded so no attendance there, help sessions had optional attendance",This is an introductory course in Statistics hence only JEE stats knowledge is expected,"AA to the highest scorer, absolute grading wrt to highest marks. 40% of the highest marks was the passing criteria","Discrete and continuous probability, Random variables and expectation, Special classes of random variables, Probability theorems and laws etc.","All Pre-recorded lectures, weekly tuts and quizes",The tuts were important as the exams were directly based on them.,10 quizzes of 10 percent each. The quizzes in the start of the semester were very scoring. The content got tougher as the semester passed,,Some NPTL courses from IIT Madras elec department have similar content,"I took the course up in my 3 sem. As this is a pre-requisite for all other Stats minor courses, have to take this up in the 3 sem itself."
SC701 - Physics and Control,Navin Khaneja,"Moderate (with background), Difficult if this is your first course involving Lie Algebra",1-4 hours per week for self-study (beyond lectures) depending on background. Profâ€™s notes are not self-sufficient and need to be supplemented by extra reading.,"There was no attendance policy. In online mode, recorded lectures were uploaded for reference. Prof Khaneja does not enforce attendance policies in offline mode as well.","Officially no prerequisites are mentioned. However, a basic understanding of quantum mechanics (at the level of QM1, not just PH107) is necessary to appreciate the later part of the course. NMR and spin systems are touched upon briefly and donâ€™t need any serious pre-requisite knowledge.
 As this is primarily a course on the intersection of physics & control, many basics are glanced over and a first course in control theory would be quite helpful.","Homework - 1 assignment per chapter - 4 chapters in total - 35%
 Midsem - 25%
 Endsem - 40%","Chapter 1: Linear Systems - Basic differential geometry, vector fields, Lie groups, Lie algebras, Lie brackets.
 Chapter 2: Non-Linear Systems - Theorem of Frobenius and Chow, nonlinear controllability.
 Chapter 3: Optimal Control - Control systems on Lie groups, maximum principle and optimal control.
 Chapter 4: Quantum Control - Fundamentals of spin dynamics and NMR. Coupled spin dynamics, time optimal control in NMR. Models of relaxation and decoherence in NMR, master equations and optimal steering. Ensemble control, broadband excitation and control, decoupling and recoupling. (Physics was kept quite basic while focusing on looking at the systems through control systems-perspective)","The notes for all 4 chapters are provided on the Profâ€™s website, you can check them out. They are the primary reference. He uses slides/blackboard to teach with the same. Lectures are a bit difficult to follow but the material is quite interesting and the pace is easy to keep up with.","The Assignments are provided at the end of the notes from day 1, and we were given plenty of time to solve them. Apart from a few typos and ill-defined questions, they were on the easy to medium side.","No quizzes.
 Midsem/Endsem: The exams were quite easy, including open notes and were usually completed well before time by everyone. If you have solved all the assignments, the exams were straightforward.",Useful to get a flavor of control theory in the context of physics for non-physics students. Also useful for physics students to understand applications of control theory to physics.,"The Prof suggested the following:
 1) V. Jurdjevic, â€œGeometric control theoryâ€, Cambridge Univ. Press, 1997
 2) J. Cavanagh, W. Fairbrother, A. Palmer, N. Skelton, â€œProtein NMR Spectroscopyâ€,
 Academic Press, 2007
 3) M. Goldman, â€œQuantum description of high resolution NMR in liquidsâ€, Oxford
 Univ. Press, 1988",I took the course in my 9th semester (dropped it before endsem due to placements/PhD applications). I would recommend taking it in 3rd or 4th year after doing a basic course that covers Group Theory/Control Systems and QM1. You can take it alongside basic control systems course in 2nd year but understanding the quantum mechanics would become challenging.
SC625 - Systems Theory,Vivek Natarajan,"The course is somewhere between moderate to tough. It involves a lot of proofs, but the prof makes very good notes of the proofs. Evaluations are done solely on the basis of content covered in the lectures, and with regular attention, the course can be navigated without much difficulty.",3-4 hrs/week,None,None,,"Vector spaces, dimension, basis, subspaces, dual spaces, annihilators, direct sum, linear transformations, matrix representations, similarity, rank and nullity, a primer on linear systems - state-space models, minimal realization, controllability, observability","Live lectures with recordings given later. The prof makes comprehensive notes, which are necessary and sufficient for the course.",,"Closed notes. Consists of proofs, but nothing is outside whatâ€™s covered in the class. Direct questions are asked from the lecture notes.",,,
PS619 - Health Policy: An Introduction,Arnab Jana,"Very easy course, based on common sense but some things have to be memorised. They have some projects that require doing some research to get datasets and make reports, rest exams are pretty chill",10 hours total except group project work,No attendance mandatory,None,"Grading based on 2 projects, assignments (10 min work per assignment), and midsem, endsem.",Basics about Health policy: Various laws in the health domain and brief history about policy decisions. Donâ€™t quite remember since it had very little relevance with the exam questions.,"Very boring. A visiting prof will teach for the entire semester, going through text filled slides, 100 per lecture.","Easy assignments. Project work required forming teams of 4-6, doing research and gathering data on a topic, making reports and presentation in front of the class. Very little relevance with the content of the classes","Common sense questions, pretty easy. Some questions required mugging through the slides, ex - laws and policy decisions in history",,,
